Date,Open,High,Low,Close*,Adj Close**
2-Jan-85,167.2,167.2,165.19,165.37,165.37
3-Jan-85,165.37,166.11,164.38,164.57,164.57
4-Jan-85,164.55,164.55,163.36,163.68,163.68
7-Jan-85,163.68,164.71,163.68,164.24,164.24
8-Jan-85,164.24,164.59,163.91,163.99,163.99
9-Jan-85,163.99,165.57,163.99,165.18,165.18
10-Jan-85,165.18,168.31,164.99,168.31,168.31
11-Jan-85,168.31,168.72,167.58,167.91,167.91
14-Jan-85,167.91,170.55,167.58,170.51,170.51
15-Jan-85,170.51,171.82,170.4,170.81,170.81
16-Jan-85,170.81,171.94,170.41,171.19,171.19
17-Jan-85,171.19,171.34,170.22,170.73,170.73
18-Jan-85,170.73,171.42,170.66,171.32,171.32
21-Jan-85,171.32,175.45,171.31,175.23,175.23
22-Jan-85,175.23,176.63,175.14,175.48,175.48
23-Jan-85,175.48,177.3,175.15,177.3,177.3
24-Jan-85,177.3,178.16,176.56,176.71,176.71
25-Jan-85,176.71,177.75,176.54,177.35,177.35
28-Jan-85,177.35,178.19,176.56,177.4,177.4
29-Jan-85,177.4,179.19,176.58,179.18,179.18
30-Jan-85,179.18,180.27,179.05,179.39,179.39
31-Jan-85,179.39,179.83,178.56,179.63,179.63
1-Feb-85,179.63,179.63,178.44,178.63,178.63
4-Feb-85,178.63,180.35,177.75,180.35,180.35
5-Feb-85,180.35,181.53,180.07,180.61,180.61
6-Feb-85,180.61,181.5,180.32,180.43,180.43
7-Feb-85,180.43,181.96,180.43,181.82,181.82
8-Feb-85,181.82,182.39,181.67,182.19,182.19
11-Feb-85,182.19,182.19,180.11,180.51,180.51
12-Feb-85,180.51,180.75,179.45,180.56,180.56
13-Feb-85,180.56,183.86,180.5,183.35,183.35
14-Feb-85,183.35,183.95,182.39,182.41,182.41
15-Feb-85,182.41,182.65,181.23,181.6,181.6
19-Feb-85,181.6,181.61,180.95,181.33,181.33
20-Feb-85,181.33,182.1,180.64,181.18,181.18
21-Feb-85,181.18,181.18,180.02,180.19,180.19
22-Feb-85,180.19,180.41,179.23,179.36,179.36
25-Feb-85,179.36,179.36,178.13,179.23,179.23
26-Feb-85,179.23,181.58,179.16,181.17,181.17
27-Feb-85,181.17,181.87,180.5,180.71,180.71
28-Feb-85,180.71,181.21,180.33,181.18,181.18
1-Mar-85,181.18,183.89,181.16,183.23,183.23
4-Mar-85,183.23,183.41,181.4,182.06,182.06
5-Mar-85,182.06,182.65,181.42,182.23,182.23
6-Mar-85,182.23,182.25,180.59,180.65,180.65
